type	ID	rowID	diff
N	0061c9f8-2126-4679-ab4e-e8f4a9bca1f2_1	-1	2
F1	00fee392-e730-42be-9b66-34c120c8b891	-1	1
N	0212f2c5-41cf-471f-8693-5707e8c83b41	-1	290
N	02e49176-4a3e-47aa-8c4d-23e8ed7395e4	-1	0
N	02fc52c0-e716-4693-a9ea-aeddc97fa7a4	-1	6
C1	04d19c1d-5670-409a-86e3-e5a9a4b96012_1	-1	4
N	05309b00-501f-48cf-85fd-642d4e00a07a	-1	6
FC1	05fb0f1f-797a-4cf7-9931-ba93c49a8eda	-1	2
N	0644613f-b362-47d9-9124-3582980ee132	-1	3
N	07c69b24-2ac6-4d04-869d-ba68ec0ff048	-1	2
N	07d0f11f-f6a6-4786-852a-42710ba58647	-1	0
N	09db51a9-a6d2-47c5-83e4-e85c2f064a57	-1	22
F1	0a5505a8-62d5-4651-bdb4-a5602517bebc	-1	1
N	0a835aee-b866-432f-9385-095bdc75257a	-1	0
N	0b3f113d-ae1a-4af6-82ec-be8bd24c1d5e	-1	4
N	0b8334b5-0c01-4925-b3c4-85c7dd6afcad_1	-1	2
N	0c2c3e84-9673-4f61-8966-1957e0268f50_1	-1	679
N	0d0fd25a-5a9c-4118-9f12-2a39b52f8054	2	22
N	0dd6c8ff-378d-4319-b2b2-1136c40cea82	-1	3
N	0ebdc5b7-4aa3-42a3-a726-53ff38f1c588	-1	1
N	0f8f836d-49a9-4ce2-82eb-3497a5aa9f4e	-1	4
N	111f88c9-3c97-4a8d-9f47-39ea0efd522b_1	-1	1
N	11b2ad02-53a4-4774-bd9a-801fc24e830d	-1	0
C1	13abe8c7-e001-4f54-af5b-631b705ec58d	-1	0
N	1457e137-5c03-4a88-978b-071c77bc4751	-1	8
N	153e9720-f2dc-47f2-941c-6dd60a04b5ac	-1	9
C1	17e69636-4839-4cfc-bb2c-8b18e096ff76	-1	49
N	180d7b2c-153a-45c3-a567-c1d28da2d57f	-1	8
N	18865d41-a0d1-4f83-8a7c-d161159e8394	-1	0
N	1b0ca983-ae2d-4415-925e-d751e8292832	-1	5
N	1c678972-0da2-42bc-a54c-e5c5306be5bb	-1	2
N	1df40919-397f-41e3-82db-ba0f426ced92	2	113
FC1	1e680396-5f63-4ce2-8552-f0ef276cd7bd_1	-1	2
F1	1f9540ab-9e16-4847-bd78-27a0c20743fa	-1	2
N	20bcd19f-08d4-4e84-b3f9-cdc643d6ea7c	-1	4
F1	219c1465-b7c3-4a08-8ab0-e078458b0e84_1	-1	1
N	22de3390-67be-49e4-8cbd-95a405f4f577_1	-1	2
FC1	23fe712e-1681-4f45-8bf5-003c07b2cb8e_1	-1	1
N	2486620e-c3f8-43f9-902d-36920b09baff	-1	3
FC1	24a8d6e6-5cf8-4395-b7a2-161be925e3e6	-1	9
N	251b8c7c-e0cb-4f55-aeb8-c0fc87c14da1	-1	3
N	25d8032b-244f-4e16-88d4-1b1ce4c8b92b	-1	3
N	26ff750e-5ad8-4ac9-bdc5-8ba366ae768a_1	-1	3
N	27664a97-55da-4696-9fb0-a8874d688e23	-1	0
N	283e0875-3eb9-4c57-b3e6-04c41a4c8fb1_1	-1	0
F1	287ca425-71f7-45e5-826c-9f427b26ac8c	-1	2
N	28fe0b12-9ed9-45cf-b048-cbe5ba1ff2c7_1	1	294
N	29a8cedf-f8e4-4e62-8b4d-e94b4a9d391a	-1	1
N	2a3d76a4-320e-40f5-a567-b16585959f2f	-1	19
N	2ada73fd-727f-4875-87ad-941a5f24a6df	-1	2
N	2b27402b-0de0-4db2-a924-6d14dc156280	-1	3
N	2ba3fc63-112c-4f3e-a1ff-03d4af5178ad	-1	2
N	2bfbe7d7-d0c8-4c6d-9df8-a2a1eaa99877	-1	3
FC1	2db3036b-0748-46d9-aa0b-d36a52b67d96	-1	1
C1	2ef6abde-434a-4638-8aeb-f57df2cb85bc_1	-1	4
N	3036f6a6-01c7-4aff-bc27-6e77b584dda0	-1	4
N	31316957-a5da-474e-9bf0-d8516dce8131	-1	4
N	317185a5-f610-45cf-8688-3784b17fffbe	-1	9
N	32677ade-e42f-44d1-ba8b-bce932565b17	-1	338
N	337c7014-def8-4d1a-94ab-faf35d9e508e	-1	4
N	33f5dd2c-955f-48d6-ba7c-1d923d6cc2e6	-1	2
N	348cc9ba-a988-4a82-92f6-a7aef85a86bc	-1	404
N	34d4da5d-0bb5-46f8-a593-3172c176add1	-1	3
N	362f0e05-23ae-4971-8337-08ecdf163b3c	-1	1
N	36a5bbbb-153b-47de-9901-65f1a405ccfd_1	-1	2
N	36cd07a8-2d19-4363-a6fa-4621c0b0b77d	-1	0
N	37558d32-62a8-411e-a1bb-279c13073fc8	-1	3
F1	386ec2fc-261b-4ea0-aada-b52557d649aa_1	-1	2
N	38b15e39-21a5-40f3-b0bb-6715aa0287fd_1	-1	1
N	393ab3e2-c9f7-44ae-9b6f-d31594f8b116	-1	2
N	39d6e9fe-3a23-4da5-ac20-d8b45a1a4514	-1	3
N	3a635d68-e6b4-4c50-aa50-f7372d18a03e_1	-1	3
N	3ac6c60f-1804-46b1-ac0b-19fb5e2bbb7f	-1	2
F1	3bb3cdbc-615c-4948-aa87-75172bb1df05	-1	1
N	3c130952-9454-4c16-a28a-e94ebf9b863e	-1	0
N	3ddcf5f0-1de6-481a-bf67-d2fb3f6ac602	-1	0
