geneID	geneName	num	ratio
ENSG00000107862.4	GBF1	66	0.058666666666666666
ENSG00000172264.12	MACROD2	26	0.02311111111111111
ENSG00000108443.9	RPS6KB1	17	0.015111111111111112
ENSG00000198162.8	MAN1A2	15	0.013333333333333334
ENSG00000241111.1	RP11-129B22.1	15	0.013333333333333334
ENSG00000073921.13	PICALM	11	0.009777777777777778
ENSG00000170832.8	USP32	9	0.008
ENSG00000164292.8	RHOBTB3	8	0.0071111111111111115
ENSG00000136492.4	BRIP1	8	0.0071111111111111115
ENSG00000111371.11	SLC38A1	7	0.006222222222222222
ENSG00000152952.7	PLOD2	6	0.005333333333333333
ENSG00000064419.9	TNPO3	6	0.005333333333333333
ENSG00000124151.14	NCOA3	6	0.005333333333333333
ENSG00000119314.11	PTBP3	6	0.005333333333333333
ENSG00000163848.14	ZNF148	6	0.005333333333333333
ENSG00000048828.12	FAM120A	6	0.005333333333333333
ENSG00000066583.7	ISOC1	6	0.005333333333333333
ENSG00000173221.9	GLRX	6	0.005333333333333333
ENSG00000108395.9	TRIM37	5	0.0044444444444444444
ENSG00000124164.11	VAPB	5	0.0044444444444444444
ENSG00000153147.5	SMARCA5	5	0.0044444444444444444
ENSG00000197323.6	TRIM33	5	0.0044444444444444444
ENSG00000104517.8	UBR5	5	0.0044444444444444444
ENSG00000170836.7	PPM1D	5	0.0044444444444444444
ENSG00000103591.8	AAGAB	4	0.0035555555555555557
ENSG00000173889.11	PHC3	4	0.0035555555555555557
ENSG00000196090.8	PTPRT	4	0.0035555555555555557
ENSG00000135018.9	UBQLN1	4	0.0035555555555555557
ENSG00000163681.10	SLMAP	4	0.0035555555555555557
ENSG00000184863.6	RBM33	4	0.0035555555555555557
ENSG00000148481.9	FAM188A	4	0.0035555555555555557
ENSG00000100225.13	FBXO7	4	0.0035555555555555557
ENSG00000105983.15	LMBR1	4	0.0035555555555555557
ENSG00000169398.15	PTK2	4	0.0035555555555555557
ENSG00000145808.4	ADAMTS19	4	0.0035555555555555557
ENSG00000104375.11	STK3	4	0.0035555555555555557
ENSG00000112851.10	ERBB2IP	4	0.0035555555555555557
ENSG00000131051.16	RBM39	4	0.0035555555555555557
ENSG00000165322.13	ARHGAP12	4	0.0035555555555555557
ENSG00000113643.4	RARS	4	0.0035555555555555557
ENSG00000131043.7	AAR2	3	0.0026666666666666666
ENSG00000144036.10	EXOC6B	3	0.0026666666666666666
ENSG00000092439.9	TRPM7	3	0.0026666666666666666
ENSG00000152894.10	PTPRK	3	0.0026666666666666666
ENSG00000232973.7	CYP1B1-AS1	3	0.0026666666666666666
ENSG00000141376.16	BCAS3	3	0.0026666666666666666
