type	ID	rowID	diff
F1	3dfa4615-8530-4610-a56e-47736e077c8c	-1	1
N	4c0ff8b2-a246-4565-9002-759e1a3c1923	-1	5
N	fa593e93-8115-4590-86a2-06f01e1e3155	-1	3
N	60197350-3933-4860-a796-b323945763e5	-1	5
N	53cfd6d9-45c4-4557-91e0-e054a5778072	-1	13
N	770b9221-3fc3-4dd5-bdaa-0f57c49a92b5_1	-1	0
N	26ff750e-5ad8-4ac9-bdc5-8ba366ae768a_1	-1	2
N	1c010cc0-0ef3-4c89-87e5-10895cae01ff	-1	8
F1	fb826610-db49-49ee-848c-215e0dae86e6	-1	2
N	348d543e-79ae-42c5-85e7-42878d644ced_1	-1	1
N	7c985847-c1c9-4647-8a1e-f8c2b28bcd88	-1	0
N	6cd922f9-8741-43cd-a39c-80460cf23177	-1	2
N	1e5a1988-3b2c-479c-8dce-1a48d73c4fd5	-1	1
N	712c2ba4-1cdf-4a1e-8b6c-a27fe15e86ca_1	-1	68
N	89f6011e-8e2d-4abc-a59c-0eac8cbdaf6f	-1	1
F1	78ca0615-1ceb-4e37-bb40-7dfaa4651d5b	-1	2
N	dfe4f5e9-58a4-43b3-8845-c462140178a9	-1	2
N	6c9486af-a6bb-4465-ab7b-4be9f16b521c	-1	3
F1	386ec2fc-261b-4ea0-aada-b52557d649aa_1	-1	2
N	e859bff7-c86e-4928-82bd-291e3b2d935e	-1	0
N	4ba0cdc4-e91b-4b6b-affe-afe73966cbd1	-1	2
F1	45fd7c4a-e709-4a16-8993-731e78a83560	-1	1
N	997905a2-eba0-44f0-8679-98c07723661e	-1	0
N	46832540-7334-455d-a5f0-be8d46edf706	-1	1
N	6de5d646-999b-4682-9457-61b97b31d4fd	-1	2
N	f5de29de-abf6-4f0d-aa88-27c0e6984c34_1	-1	544
N	9015ca30-84f7-4d74-bc68-a81ee611ecc6	-1	3
N	e166b176-adf9-4bde-b15a-c680b3dae74c	0	147
N	e524c087-ad89-412a-987d-df2dde5bb591	-1	3
N	c86045d7-c6c5-4e6c-99b6-89cf6c9da46a_1	-1	3
