	0
3dfa4615-8530-4610-a56e-47736e077c8c	1862
4c0ff8b2-a246-4565-9002-759e1a3c1923	484
fa593e93-8115-4590-86a2-06f01e1e3155	864
60197350-3933-4860-a796-b323945763e5	933
53cfd6d9-45c4-4557-91e0-e054a5778072	1430
770b9221-3fc3-4dd5-bdaa-0f57c49a92b5	2752
26ff750e-5ad8-4ac9-bdc5-8ba366ae768a	1587
1c010cc0-0ef3-4c89-87e5-10895cae01ff	1395
fb826610-db49-49ee-848c-215e0dae86e6	1239
348d543e-79ae-42c5-85e7-42878d644ced	1260
7c985847-c1c9-4647-8a1e-f8c2b28bcd88	1830
e764302e-1eb9-4b67-bff9-f8569be65a50	1806
6cd922f9-8741-43cd-a39c-80460cf23177	870
1e5a1988-3b2c-479c-8dce-1a48d73c4fd5	916
712c2ba4-1cdf-4a1e-8b6c-a27fe15e86ca	1644
89f6011e-8e2d-4abc-a59c-0eac8cbdaf6f	1680
78ca0615-1ceb-4e37-bb40-7dfaa4651d5b	968
dfe4f5e9-58a4-43b3-8845-c462140178a9	817
6c9486af-a6bb-4465-ab7b-4be9f16b521c	916
386ec2fc-261b-4ea0-aada-b52557d649aa	1557
e859bff7-c86e-4928-82bd-291e3b2d935e	630
4ba0cdc4-e91b-4b6b-affe-afe73966cbd1	790
45fd7c4a-e709-4a16-8993-731e78a83560	1061
997905a2-eba0-44f0-8679-98c07723661e	1127
46832540-7334-455d-a5f0-be8d46edf706	1073
6de5d646-999b-4682-9457-61b97b31d4fd	1423
f5de29de-abf6-4f0d-aa88-27c0e6984c34	2526
9015ca30-84f7-4d74-bc68-a81ee611ecc6	1736
e166b176-adf9-4bde-b15a-c680b3dae74c	1369
e524c087-ad89-412a-987d-df2dde5bb591	1192
c86045d7-c6c5-4e6c-99b6-89cf6c9da46a	2488
d336b4e2-0317-45e8-a446-72d6dce24848	1608
f15707a2-2423-4cdb-a4e5-611a348101dc	939
2a96f9f8-0b83-4742-bd2f-03a5f81c6b99	1353
816815bb-fada-43e8-b5ae-98717c4f21ce	1346
8017c1df-4bfd-476e-b9f4-94619888115b	1147
2050374b-7cd0-4a3a-aa64-adcc81782bc8	1293
f0165320-dcf0-4d06-88e3-568279406fca	1308
f81e5fdf-b36a-4491-ba85-3858a1451059	810
83a207aa-b9a3-4598-8888-22a4cbf8f2f6	833
85035c48-c267-4880-8dfa-879304ce8284	1183
c4df0758-3b6c-439d-95a7-44513626237f	1071
31276365-a4a7-455d-b31d-36c8fcf587d6	1550
86daf8aa-dcd5-4e8a-864b-cadb0ecae44d	956
16201111-621e-41bf-b5e3-8b875eae6db1	660
9d72dbf7-553f-4261-a2db-ef0a67757b99	1315
d610279b-4218-40d4-9bdc-f54b6c2f189e	1888
c7b551d2-7bed-4cba-ae7b-4819181e47e8	1755
25d8032b-244f-4e16-88d4-1b1ce4c8b92b	942
2ef6abde-434a-4638-8aeb-f57df2cb85bc	1384
47fa5fa4-fbb5-47aa-9dfd-6acae7f37408	1463
e2601523-2025-4efd-93ad-73e487c52680	1429
91c89c68-4bfa-4287-81f5-e6a8000d5369	1143
d2e647cd-de60-4f5b-b27f-aa74d7cc164d	1248
56e70b5c-34ca-4a9e-9060-7f8535305710	801
8778189e-bf68-482b-a7a4-5d5ca547b2de	1114
d686ca4a-764a-4ce8-b34f-d7c711b1dddc	1642
ec7f135d-e3b2-4412-8ce3-1341720b412b	1068
620d3773-9a8f-41d2-99eb-915aef43f59e	1580
6441e688-5452-4d59-85c3-73dcf6ce1537	1501
c2b38a5d-21e1-4ed3-a16c-4a261bfab3ca	1517
6a93c6bc-c666-4c6d-8e5b-d4783120bb75	1229
dd54c766-04ac-4cb2-a983-f36948d3b4ca	983
3be545a3-612b-4ee0-810f-f654b855a0dc	897
3f9b9666-36a6-490c-a0d0-813d992a5ef8	1011
ffc3710a-7314-4a0e-906c-cdce113d9fe6	1518
7eb99694-5eb9-4c55-9241-0a05d71d0cdd	1498
04f0807f-b57a-4ef9-a165-6708060cdaae	960
e181ceb9-0e43-4bad-9772-5fc3751c9df9	1469
4a629964-d1b6-49eb-8e97-f110e7802d22	823
bc571882-833c-488d-bc2b-a18e0edd2ebd	1684
1deb55ff-57e9-4d00-a015-f32a0fabd9e1	2867
b8e5c767-ee95-4a84-8860-961174199751	1408
0061c9f8-2126-4679-ab4e-e8f4a9bca1f2	1424
7659e51d-db50-4a4d-b44e-58efaf5831d3	1541
75a9e243-3bfd-4e14-9388-d347542e8e30	1423
69ce334f-3177-4697-b74c-835bc516c0be	1795
af23b843-76ac-4222-bf2a-917a83cfb558	1211
2bfbe7d7-d0c8-4c6d-9df8-a2a1eaa99877	1222
c7691e38-e2f9-451a-a6aa-07b08e43bdbd	1442
82de9844-6356-4c55-b698-46917b2fad47	1215
af9da618-8ac8-443a-9dc9-2e022d46e6a1	1421
91d96472-ab48-409f-baf8-58530463b5b0	1249
2cad8114-ac0e-43c5-b026-4ff9283237b7	1188
d94d4e70-a1ca-4099-b380-466d1266be34	1181
a83455ae-88d3-47e1-924b-d0f039522fb0	884
419d2180-6a9f-4634-9c76-0c9a35d569fc	1401
9261b810-a8a2-4d2f-b3ba-bcc09797ee9c	1187
e53cd095-978a-42fe-902f-629fb5774f3b	1052
22645ee1-db61-4441-8d02-2e5befcea9c9	902
05fb0f1f-797a-4cf7-9931-ba93c49a8eda	724
8e6bea69-40e7-46a1-a326-a9cdd87cb6a0	2558
5896d90c-a5be-4c95-a110-215fa4e2c6a8	763
416c8e73-9e1d-44ab-8e5b-96961b8b13c2	1181
c60fcb49-c33a-448b-817c-41c5b447f0ab	1179
76c87751-d8f3-4fdc-bc1a-8b0af3e77927	1158
56d4089e-03b4-424b-b5a3-d3db0b9e12ac	2687
df0832c7-f86d-4f05-8ec2-7a99722592b0	697
bf03220c-8f6c-4421-b94e-3f880ed63df5	847
09855517-f999-48e6-a60d-fe81998e75ce	1256
f072fa53-9ae2-4ddd-8986-1021b53b2f85	1491
a8c8a7ee-9fb8-478b-9159-ec05ee47bdf1	1785
b4e197fd-7823-4068-8391-c69e37e3f38a	902
53697f06-7bcb-46c7-8e24-1ee5a46da6a3	1179
d03940d8-1c02-40fb-b527-b0b1833e319e	1406
458faa52-147f-409d-83c4-f82cf217933d	990
d5d4f434-ff76-47d2-9117-69f7d6874192	1404
577e3edc-27f1-45c1-8ec2-4fda2fa427fc	1628
2516c18c-76de-4997-bff9-ee37b654063c	1510
11f33441-b5eb-43c8-85dc-b13f44653404	978
4773c347-ef0e-4ba6-8f5c-4b6ed0f9c378	1060
b5e1aa0a-e91b-4273-950c-944a2f1b65ac	1480
3b1f956c-98ea-4fa7-9795-d4dd6fac811c	945
f03ce32b-5fb1-4c03-8a79-00f49ad6d6f3	1693
1043e06c-eac5-4c2e-93ce-0af60f2f3155	1756
68c1cf62-7698-43d0-81ac-59d4548394f4	733
76cc8954-b650-4ec5-afdc-275795aed897	1358
f8576300-283c-4f37-954e-25c9d97521cb	1078
e6f16b9d-9e9a-4636-8749-f6a7162e571e	1396
29594536-18d5-4d83-8e6d-f08c0276e974	1164
886df7e8-172b-4bf4-a187-6f77e74316c2	1004
4896e39c-3073-4ce9-bc16-e115629a7ec6	1544
ecdff4cf-c39c-41db-9124-85d5e5e80d74	1344
597385a5-e254-41d0-a321-a720622854ba	1389
154c6718-7af6-4447-a6f6-6817b5c8caf3	1110
595377d6-fa17-42e8-a96a-642e8992d06e	1340
8a5e48cb-6473-4184-98e4-407c96bc48b0	1247
48f38cde-770e-4bc4-aa97-083bba38e2b2	2156
cfd55a6f-8d1e-4d69-9f70-bf22c4bb5f72	725
c73d3960-8b2e-4cfd-bfc1-d51355c8263b	632
b4183006-2d05-4527-8465-25d3021d80f6	1022
30c2535b-e000-42c1-9b60-0f02813cc701	2369
0c2c3e84-9673-4f61-8966-1957e0268f50	1430
9f999d22-1d11-4d65-8cfe-fae848f9e740	1802
e32d76c2-f91b-4d35-a664-9422132ade04	1390
3808e8fa-073d-4115-9cae-e66475e4cb8a	1150
49f6e7c7-0ae9-4011-b039-c5d82ecfc6b3	1394
ad6217f1-3302-4732-bd4a-424526e6f144	1123
98aedfd9-a6bb-4b0c-81f9-e93879f131cf	1234
f5b84bea-63fc-4180-b384-008d8c82ac46	1170
