chr	start	end	isoID	strand	exon_start	exon_end	len	start_type	end_type	geneName	detail_type	type
chr5	95091100	95099324	chr5|95091100,95099212|95091465,95099324	+	95091100,95099212	95091465,95099324	479	m,m	m,m	RHOBTB3	full match	full match
chr1	117944808	117963271	chr1|117944808,117948171,117957335,117963191|117945063,117948267,117957453,117963271	+	117944808,117948171,117957335,117963191	117945063,117948267,117957453,117963271	553	m,m,m,m	m,m,m,m	MAN1A2	full match	full match
chr17	57987923	57992064	chr17|57987923,57990045,57991996|57987972,57990165,57992064	+	57987923,57990045,57991996	57987972,57990165,57992064	240	m,m,m	m,m,m	RPS6KB1	full match	full match
chr1	117944808	117957453	chr1|117944808,117948171,117957335|117945063,117948267,117957453	+	117944808,117948171,117957335	117945063,117948267,117957453	472	m,m,m	m,m,m	MAN1A2	full match	full match
chr7	128655033	128658211	chr7|128655033,128657037,128658011|128655189,128657110,128658211	-	128655033,128657037,128658011	128655189,128657110,128658211	432	m,m,m	m,m,m	TNPO3	full match	full match
chr9	96233423	96261168	chr9|96233423,96238538,96259753,96261072|96233669,96238620,96259881,96261168	+	96233423,96238538,96259753,96261072	96233669,96238620,96259881,96261168	556	m,m,m,m	m,m,m,m	FAM120A	full match	full match
chr5	128440649	128442755	chr5|128440649,128440878,128442639|128440768,128441081,128442755	+	128440649,128440878,128442639	128440768,128441081,128442755	441	m,m,m	m,m,m	ISOC1	full match	full match
chr4	144464662	144465125	chr4|144464662,144465006|144464810,144465125	+	144464662,144465006	144464810,144465125	269	m,m	m,m	SMARCA5	full match	full match
chr17	57987923	58003943	chr17|57987923,57990045,57991996,58003796|57987972,57990165,57992064,58003943	+	57987923,57990045,57991996,58003796	57987972,57990165,57992064,58003943	388	m,m,m,m	m,m,m,m	RPS6KB1	full match	full match
chr5	128861977	128864370	chr5|128861977,128863441,128864213|128862149,128863524,128864370	+	128861977,128863441,128864213	128862149,128863524,128864370	415	m,m,m	m,m,m	ADAMTS19	full match	full match
chr3	145838899	145842016	chr3|145838899,145839758,145841052,145841925|145839035,145839820,145841112,145842016	-	145838899,145839758,145841052,145841925	145839035,145839820,145841112,145842016	353	m,intron,m,m	m,intron,m,m	PLOD2	full match	full match
chr7	155465561	155473602	chr7|155465561,155471302,155473284|155465609,155471378,155473602	+	155465561,155471302,155473284	155465609,155471378,155473602	445	m,m,m	m,m,m	RBM33	full match	full match
chr12	46622936	46637097	chr12|46622936,46623347,46633462,46636983|46623051,46623422,46633676,46637097	-	46622936,46623347,46633462,46636983	46623051,46623422,46633676,46637097	522	m,m,m,m	m,m,m,m	SLC38A1	full match	full match
chr20	46252655	46262380	chr20|46252655,46254125,46255746,46256305,46256666,46262240|46252827,46254225,46255920,46256493,46256767,46262380	+	46252655,46254125,46255746,46256305,46256666,46262240	46252827,46254225,46255920,46256493,46256767,46262380	881	m,m,m,m,m,m	m,m,m,m,m,m	NCOA3	full match	full match
chr5	167915607	167921655	chr5|167915607,167919664,167920899,167921555|167915741,167919852,167921007,167921655	+	167915607,167919664,167920899,167921555	167915741,167919852,167921007,167921655	534	m,m,m,m	m,m,m,m	RARS	full match	full match
chr1	115005726	115007010	chr1|115005726,115006034,115006892|115005858,115006178,115007010	-	115005726,115006034,115006892	115005858,115006178,115007010	397	m,m,m	m,m,m	TRIM33	full match	full match
chr15	67524152	67529158	chr15|67524152,67528317,67528746,67528968|67524235,67528406,67528842,67529158	-	67524152,67528317,67528746,67528968	67524235,67528406,67528842,67529158	462	m,m,m,m	m,m,m,m	AAGAB	full match	full match
chr2	38349127	38358756	chr2|38349127,38358653|38349367,38358756	+	38349127,38358653	38349367,38358756	345	m,m	m,m	CYP1B1-AS1	full match	full match
chr12	28408514	28460682	chr12|28408514,28410135,28412297,28458582,28459675,28460578|28408595,28410178,28412375,28458739,28459878,28460682	+	28408514,28410135,28412297,28458582,28459675,28460578	28408595,28410178,28412375,28458739,28459878,28460682	672	m,m,m,m,m,m	m,m,m,m,m,m	CCDC91	full match	full match
chr9	35228012	35243361	chr9|35228012,35231117,35236466,35237700,35243288|35228041,35231216,35236583,35237823,35243361	+	35228012,35231117,35236466,35237700,35243288	35228041,35231216,35236583,35237823,35243361	446	m,m,m,m,m	m,m,m,m,m	UNC13B	full match	full match
chr10	32197100	32199491	chr10|32197100,32199453|32197854,32199491	-	32197100,32199453	32197854,32199491	794	m,m	m,m	ARHGAP12	full match	full match
